STATISTIC,Statistic Label,TLIST(A1),Year,C03935V04687,Mode of Transport,C01198V01436,Weeks of the year,UNIT,VALUE
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",50,Week 50,Number,436740
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",51,Week 51,Number,444680
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",52,Week 52,Number,272410
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",53,Week 53,Number,170366
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",01,Week 01,Number,184151
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",02,Week 02,Number,184333
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",03,Week 03,Number,184441
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",04,Week 04,Number,189266
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",05,Week 05,Number,201849
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",06,Week 06,Number,198989
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",07,Week 07,Number,210651
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",08,Week 08,Number,218084
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",09,Week 09,Number,240137
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",10,Week 10,Number,239123
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",11,Week 11,Number,246289
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",12,Week 12,Number,260235
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",13,Week 13,Number,259578
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",14,Week 14,Number,239121
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",15,Week 15,Number,310154
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",16,Week 16,Number,326905
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",17,Week 17,Number,322352
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",18,Week 18,Number,287627
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",19,Week 19,Number,358853
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",20,Week 20,Number,391144
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",21,Week 21,Number,418633
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",22,Week 22,Number,418168
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",23,Week 23,Number,411324
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",24,Week 24,Number,446540
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",25,Week 25,Number,450941
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",26,Week 26,Number,447514
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",27,Week 27,Number,441652
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",28,Week 28,Number,466323
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",29,Week 29,Number,465320
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",30,Week 30,Number,449602
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",31,Week 31,Number,410910
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",32,Week 32,Number,457401
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",33,Week 33,Number,459631
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",34,Week 34,Number,505692
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",35,Week 35,Number,507106
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",36,Week 36,Number,527134
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",37,Week 37,Number,544763
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",38,Week 38,Number,578850
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",39,Week 39,Number,604775
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",40,Week 40,Number,601080
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",41,Week 41,Number,613892
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",42,Week 42,Number,609960
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",43,Week 43,Number,501525
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",44,Week 44,Number,588321
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",45,Week 45,Number,592538
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",46,Week 46,Number,598813
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",47,Week 47,Number,573025
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",48,Week 48,Number,545762
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",49,Week 49,Number,478897
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",50,Week 50,Number,586228
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",51,Week 51,Number,396284
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",52,Week 52,Number,289588
THA24C01,Passenger Journeys,2021,2021,20,"Bus, excluding Dublin Metro",53,Week 53,Number,
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",01,Week 01,Number,365503
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",02,Week 02,Number,475432
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",03,Week 03,Number,519750
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",04,Week 04,Number,550396
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",05,Week 05,Number,562335
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",06,Week 06,Number,582446
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",07,Week 07,Number,527018
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",08,Week 08,Number,543279
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",09,Week 09,Number,612819
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",10,Week 10,Number,572414
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",11,Week 11,Number,540807
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",12,Week 12,Number,608648
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",13,Week 13,Number,591604
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",14,Week 14,Number,616574
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",15,Week 15,Number,556672
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",16,Week 16,Number,570284
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",17,Week 17,Number,666915
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",18,Week 18,Number,645649
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",19,Week 19,Number,681036
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",20,Week 20,Number,668361
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",21,Week 21,Number,671051
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",22,Week 22,Number,675775
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",23,Week 23,Number,628508
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",24,Week 24,Number,689753
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",25,Week 25,Number,672758
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",26,Week 26,Number,641014
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",27,Week 27,Number,688352
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",28,Week 28,Number,693305
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",29,Week 29,Number,668149
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",30,Week 30,Number,654034
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",31,Week 31,Number,599663
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",32,Week 32,Number,700075
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",33,Week 33,Number,687677
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",34,Week 34,Number,719994
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",35,Week 35,Number,703280
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",36,Week 36,Number,746245
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",37,Week 37,Number,823471
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",38,Week 38,Number,849445
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",39,Week 39,Number,885387
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",40,Week 40,Number,896210
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",41,Week 41,Number,885730
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",42,Week 42,Number,866776
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",43,Week 43,Number,891987
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",44,Week 44,Number,736242
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",45,Week 45,Number,864536
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",46,Week 46,Number,891579
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",47,Week 47,Number,871810
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",48,Week 48,Number,852232
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",49,Week 49,Number,840769
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",50,Week 50,Number,800708
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",51,Week 51,Number,662302
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",52,Week 52,Number,478378
THA24C01,Passenger Journeys,2022,2022,20,"Bus, excluding Dublin Metro",53,Week 53,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",01,Week 01,Number,614352
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",02,Week 02,Number,742138
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",03,Week 03,Number,791800
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",04,Week 04,Number,858179
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",05,Week 05,Number,867139
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",06,Week 06,Number,803293
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",07,Week 07,Number,882482
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",08,Week 08,Number,885217
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",09,Week 09,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",10,Week 10,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",11,Week 11,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",12,Week 12,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",13,Week 13,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",14,Week 14,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",15,Week 15,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",16,Week 16,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",17,Week 17,Number,
THA24C01,Passenger Journeys,2023,2023,20,"Bus, excluding Dublin Metro",18,Week 18,Number,
